feedline_width_fw_mm,patch_length_pl_mm,patch_width_pw_mm,resonant_frequency_ghz,minimum_s11_db,bandwidth_ghz,z_real,z_imaginary
0.4,2.53,3.11,38.032,-31.431,1.368,66.027649,0.047072399
0.4,2.53,3.15,37.987,-43.281,1.361999,68.717937,0.019833115
0.4,2.53,3.19,37.939,-39.513,1.350002,71.139084,-0.066235332
0.4,2.53,3.23,37.885,-31.238,1.335002,73.578348,-0.080535618
0.4,2.53,3.27,37.837,-26.654,1.32,76.43659,-0.31256173
0.4,2.53,3.31,37.789,-23.248,1.292999,79.916924,-0.70116345
0.4,2.54,2.95,38.113,-19.589,1.343998,56.431454,-0.063877848
0.4,2.54,2.99,38.056,-21.363,1.358997,58.701153,-0.12890983
0.4,2.54,3.03,38.005,-23.25,1.368,60.69983,-0.001687684
0.4,2.54,3.07,37.957,-26.087,1.371003,63.080933,0.063315547
0.4,2.54,3.11,37.906,-29.733,1.368,65.266528,0.022385856
0.4,2.54,3.15,37.861,-37.923,1.368,67.91935,0.04751218
0.4,2.54,3.19,37.813,-46.752,1.355999,70.294717,0.005842193
0.4,2.54,3.23,37.759,-33.401,1.340999,72.694178,0.034396626
0.4,2.54,3.27,37.711,-27.88,1.326001,75.510655,-0.13615925
0.4,2.54,3.31,37.666,-24.066,1.305,78.953054,-0.21737992
0.422,2.45,2.95,39.343,-23.588,1.349998,59.509302,1.827328
0.422,2.45,2.99,39.286,-26.757,1.368,61.955478,1.4540674
0.422,2.45,3.03,39.223,-31.478,1.365001,64.309484,0.83497506
0.422,2.45,3.07,39.175,-40.66,1.355999,66.539476,0.35943366
0.422,2.45,3.11,39.115,-39.167,1.344002,69.157268,-0.44794929
0.422,2.45,3.15,39.07,-30.374,1.328999,71.811987,-1.1017733
0.422,2.45,3.19,39.013,-25.907,1.305001,74.691249,-1.9902716
0.422,2.45,3.23,38.953,-23.02,1.278004,77.562816,-2.8940166
0.422,2.45,3.27,38.929,-21.484,1.257,79.602165,-3.6114578
0.422,2.45,3.31,38.857,-19.053,1.206001,83.804286,-5.3156109
0.422,2.46,2.95,39.211,-22.756,1.364997,58.704167,1.8260093
0.422,2.46,2.99,39.151,-25.574,1.368,61.081449,1.31935
0.422,2.46,3.03,39.091,-29.5,1.365001,63.43856,0.9379633
0.422,2.46,3.07,39.043,-35.816,1.359001,65.634629,0.51671189
0.422,2.46,3.11,38.986,-47.893,1.349998,68.266279,-0.026002199
0.422,2.46,3.15,38.938,-32.701,1.335003,70.841162,-0.7991294
0.422,2.46,3.19,38.881,-27.247,1.313999,73.681628,-1.6039881
0.422,2.46,3.23,38.821,-23.975,1.286999,76.518645,-2.4149486
0.422,2.46,3.27,38.797,-22.285,1.272,78.537134,-3.0626611
0.422,2.46,3.31,38.728,-19.664,1.224003,82.771659,-4.4003013
0.422,2.47,2.95,39.079,-22.018,1.361999,57.922781,1.7565937
0.422,2.47,2.99,39.019,-24.555,1.368,60.268718,1.2992513
0.422,2.47,3.03,38.959,-27.924,1.365002,62.587183,0.96465413
0.422,2.47,3.07,38.911,-32.784,1.365001,64.748546,0.59240729
0.422,2.47,3.11,38.854,-50.689,1.353,67.340929,0.11346696
0.422,2.47,3.15,38.809,-35.803,1.344002,69.928578,-0.3906721
0.422,2.47,3.19,38.752,-28.796,1.322998,72.734528,-1.111853
0.422,2.47,3.23,38.692,-25.023,1.299,75.538775,-1.8335072
0.422,2.47,3.27,38.668,-23.147,1.281002,77.537334,-2.4149046
0.422,2.47,3.31,38.599,-20.306,1.238998,81.727274,-3.6034461
0.422,2.48,2.95,38.947,-21.353,1.359001,57.164148,1.6266218
0.422,2.48,2.99,38.887,-23.663,1.368,59.477691,1.2146677
0.422,2.48,3.03,38.827,-26.62,1.368,61.759012,0.92256325
0.422,2.48,3.07,38.779,-30.586,1.365001,63.886023,0.59475399
0.422,2.48,3.11,38.722,-40.32,1.358998,66.437586,0.1747335
0.422,2.48,3.15,38.677,-40.556,1.347,68.985789,-0.26547574
0.422,2.48,3.19,38.623,-30.634,1.332,71.794192,-0.71108163
0.422,2.48,3.23,38.563,-26.192,1.308003,74.559403,-1.3488827
0.422,2.48,3.27,38.539,-24.081,1.292999,76.539383,-1.8682554
0.422,2.48,3.31,38.47,-20.985,1.250999,80.679027,-2.9186687
0.422,2.49,2.95,38.815,-20.747,1.356003,56.422203,1.4018993
0.422,2.49,2.99,38.758,-22.869,1.365001,58.72493,1.2118691
0.422,2.49,3.03,38.698,-25.505,1.368,60.970723,0.96271058
0.422,2.49,3.07,38.65,-28.864,1.368,63.065814,0.67911175
0.422,2.49,3.11,38.593,-35.777,1.361999,65.574509,0.31575217
